musician_id,filename,event_count
2277,Blue_Biscuit_Blues_Band,2
2260,Gregory_Reed,1
4917,Jesper,2
5674,Jud_Kim_quartet_1,1
5032,Keezy,1
6220,Mike_Field,1
4999,WYM,1
6737,이진붕,1
5511,Kumi_Adachi_and_Shuji_Hata_with_korean_friens,1
1954,$erpent,1
5322,Sline,1
2150,10,5
6102,본조비_트리뷰트_밴드,1
4528,ROVE,1
5425,100ers,1
2196,101A,1
14,10cm,42
1872,11시11분,71
5844,1253일이오삼,2
4834,12일,1
5012,133_Crew,1
3042,13데이즈,7
18,13스텝스,28
3768,13층,75
6897,1415,2
5485,14레프트,1
6702,15_Guys,1
1754,180,9
2056,18그램,53
3847,19.9,1
4463,1984,8
2881,19세,9
4005,1set,3
1185,1ton,13
1745,2_스토리,43
6429,2016라이징스타,1
6998,2017라이징스타,1
2401,21SCOTT,24
1623,21세기피터팬들,36
5505,22구역,3
545,24_Hours,132
1893,24일,20
5479,29,3
670,2day_2morrow,2
5190,2G,1
2161,2iN투인,3
5092,2nd_Wind,1
4391,2시2분,3
2668,3_Men,1
5664,301호,2
3576,302호,1
1295,316,2
2524,33rd_Kimchibilly_Night,1
3120,35_Milk,2
4576,36.5도,2
3371,36.8,5
135,360_SOUNDS,1
2932,3mate,5
4589,3볼트,2
626,3월의_토끼,4
5,3호선_버터플라이,46
526,404,36
6598,406호_프로젝트,2
4489,420사이공,1
748,45RPM,1
15,49_Morphines,3
1246,49_몰핀스,1
609,4HZ,9
4644,4NG,1
1768,4th_floor,13
1490,4번출구,3
5178,4층총각,2
2032,53,4
393,55,2
4254,57,69
3722,5ppas,2
1236,5tones,1
4209,64Sixtyfour,3
3273,666,1
2821,6시_41분,2
5034,707,1
4016,707,1
4437,707서연,1
5033,72,1
5457,75A,3
5452,77_빔즈,2
2515,7th_Line,3
2917,82번지점프,8
3634,88,3
2726,889,3
4671,88호도리,4
2690,8Dro,1
5852,9,4
21,99Anger,7
4899,9coma,1
2533,9years,1
13,9와_숫자들,57
1941,9월의이들,1
3705,9초,15
294,9호선_환승역,7
4738,A_Trilogue,4
2065,A-Five,1
2465,A-Frica,2
2306,Aaron_Choe,1
371,Above_Beyond,0
5832,ABTB,7
2089,ABTBA_Bolt_From_The_Blue,24
4380,ABYSS,1
2740,Abyss,3
2450,Accept,1
2856,Acoustic_놀이터,2
5211,ADHD,1
2855,Aerial,1
2268,Aggressive_Pedestrian,1
3872,Agit_Punkt,1
4626,Aint_Nothing_But,2
853,air_below,9
2633,Aircraft_of_the_Month,1
5740,AirHead,2
5368,Akinori_Taka,1
341,AKoYa,1
1316,ALL_I_HAVE,26
1430,Ally,6
533,ALPHA_STEPPA_알파스테파,1
3223,Aluk,3
1760,Ameri_B.C.,3
2733,Ami_Dang,1
7083,Analog_GAME,1
5290,Andrew_Page_Quartet,1
2314,Animal_Anthem,16
1921,Anne,1
1836,ANNIVERSARY,1
873,aNote,1
6770,Another_Day,3
3806,Antisplit,2
2307,Antoine,1
1968,April_2nd,11
2656,April_Sour,1
4559,Arcanum_Sanctum,1
2006,Areina,12
2336,Army_of_Jade_KirinCHN,1
6938,ASDF,4
5031,AshJay,1
2414,Assassination_Squad,27
2175,Asuna,1
5023,At_Ground,1
3108,At_the_Gates,1
2667,Atlat,4
2396,Atom_Machine,4
2993,Audio_Blossom,5
2453,Aurevoir_Michelle,7
808,AUS,1
1264,Autopilot,1
1656,AUX,1
5026,Awaken_Tongues,2
2411,AWDAsleep_without_Dreaming,10
1649,AXCUTOR,5
5014,A_G,1
3870,A프로젝트,1
397,B-FREE,1
258,B.B.PUCKS,1
2199,Babylove_and_Van_Dangos_Denmark,1
6563,Balladitation_Project,1
2659,Banana_Co,1
3468,Band_24th,2
1574,Band_DUBOO,1
3794,BAND_NUNA,3
1877,Band_Shuffle,2
1250,BAND27,2
2434,Bark_House,4
2953,BB103,1
2439,Bear_Fucker,1
211,BEATBURGER,0
396,BEENZINO,7
1686,Beeren_Heim,2
4924,BEET_JUICE,2
2416,Bellydancing_from_Eshe,2
3060,below_zero,4
2264,Ben_Akers,1
2311,Betty_Ass,16
5027,BewhY,1
2236,Big_Boned_Rhythm,1
6040,BK_Quartet,1
6495,BKY~바람을_가르는_영웅~,1
2052,Black_Anarchy,1
2303,Black_Ilumin,1
2301,Black_Nut,2
2736,blacksaint,1
2735,Blacktetra,1
2516,Blad-Hammer,1
5035,Blank_Crew,1
2567,Blindside,1
5967,BLUES_HOBO_BAND,2
2600,Body_Shower,1
254,BOM,5
6174,Bomis_homies,1
731,BORGNINES,1
3732,Borrowers,4
483,BREAKBOT,0
5030,Brealiant,1
725,Bright_Splinters,2
6945,Brisa,1
2176,Broken_Rust,2
5572,Brother_Gun,1
5908,BROWN,1
2685,Budda,1
4755,Budda_Ladies,1
2368,Bullet_7,4
3145,Bumbershoot,2
1149,Burn_My_Bridges,21
2410,Burns_Arcade,1
2424,Buzzard_Luck,2
5197,C.RED,6
2295,Cael_Anton,2
5743,Cardboard_Collective,1
6086,CAREER_SUICIDE,1
794,Carry.D,1
6143,Case_B,2
2773,Cassie_Norton,2
4561,Catamenia,1
3940,Cavalier,4
2530,CD5,1
1802,Chanters_Alley,19
845,Charlies_Ukulele,1
5573,CHOC,1
1532,Chris_Hale,1
2712,CladerEl_Casta,1
4562,Claim_the_throne,1
2571,Clamono,8
4383,Classy,2
5344,clay클레이,1
563,Clerks,2
589,Clock_Clock,1
1619,Close_Talk,24
5613,Clouds_Block,3
1356,Cloudancer,2
2179,Club_505,2
1522,Cockrasher,2
2252,Cody_Rose,1
7080,COFFIN_from_Australia,1
3486,Cokiyu,3
2841,Cold_Cave,4
3463,Colours,6
1736,Combative_Post,15
6300,Comfort,2
4818,Communicates,1
2392,Con9ueror,1
4333,CONG-VU,2
6401,Cooing,1
4600,CR_태규,15
2517,Cratia,6
2154,Crazy99,1
6804,Cream_Trio,2
2739,Crimson,1
2697,Crimson_Butterfly_Ensemble,2
6807,Crissie_and_feel_the_one,2
6431,Crissie_Band_크리시밴드,1
1006,Crossbones,3
2298,Crucial_Star,3
3111,Crucified,1
372,CRYSTAL_CASTLES,0
1359,CR태규,26
3544,CR태규와_물건들,2
1464,Cunttlefish,1
3485,Cuushe,3
5678,Cyna,9
1882,DandC,1
1146,DHAIT,1
1422,D-SIGN,1
1278,D.B.C,1
1183,D.tails,1
5735,D.W.T.N,1
2939,DAK,7
421,Dakine_김철수_Band,2
1094,DAMAGE,2
2522,Damagia,2
